task,repeat,direct_generation_status,intent_generation_status,direct_seed_ms,intent_seed_ms,intent_over_direct_seed,direct_optimization_status,intent_optimization_status,direct_optimized_ms,intent_optimized_ms,intent_over_direct_optimized,direct_optimization_speedup,intent_optimization_speedup
logsumexp,2,not_run,not_run,,,,not_run,not_run,,,,,
add_mean,0,pass,pass,0.011320000048726797,0.1778400018811226,15.710247448375666,candidate_budget,candidate_budget,0.011320000048726797,0.01089600007981062,0.9625441725184563,1.0,16.32158595617536
add_mean,1,not_run,not_run,,,,not_run,not_run,,,,,
add_mean,2,not_run,not_run,,,,not_run,not_run,,,,,
exp_mean,0,pass,pass,0.007840000092983246,0.12010400369763374,15.319388045049402,not_run,not_run,,,,,
exp_mean,1,not_run,not_run,,,,not_run,not_run,,,,,
exp_mean,2,not_run,not_run,,,,not_run,not_run,,,,,
matmul,0,pass,pass,0.028672000393271446,0.018207999877631664,0.6350446298788625,candidate_budget,candidate_budget,0.01601599995046854,0.016080000437796116,1.0039960344359082,1.7902098203011458,1.1323382700185551
matmul,1,not_run,not_run,,,,not_run,not_run,,,,,
matmul,2,not_run,not_run,,,,not_run,not_run,,,,,
addmm,0,pass,pass,0.03254400007426739,0.018223999999463558,0.5599803330222247,candidate_budget,in_progress,0.018080000765621662,0.018223999999463558,1.0079645590566404,1.799999927884317,1.0
addmm,1,not_run,not_run,,,,not_run,not_run,,,,,
addmm,2,not_run,not_run,,,,not_run,not_run,,,,,
tensordot,0,pass,compilation_failure,0.0060640000738203526,,,candidate_budget,not_run,0.005760000087320805,,,1.0527777746338456,
tensordot,1,not_run,not_run,,,,not_run,not_run,,,,,
tensordot,2,not_run,not_run,,,,not_run,not_run,,,,,
tensordot_rsqrt,0,pass,pass,0.04676800034940243,0.04483200050890446,0.9586041775138092,in_progress,not_run,0.04676800034940243,,,1.0,
tensordot_rsqrt,1,not_run,not_run,,,,not_run,not_run,,,,,
tensordot_rsqrt,2,not_run,not_run,,,,not_run,not_run,,,,,
conv2d,0,pass,compilation_failure,0.09080799669027328,,,candidate_budget,not_run,0.0284639997407794,,,3.19027534841408,
conv2d,1,not_run,not_run,,,,not_run,not_run,,,,,
conv2d,2,not_run,not_run,,,,not_run,not_run,,,,,
symmetric_mm_and_abs_sum,0,pass,compilation_failure,0.14135199785232544,,,not_run,not_run,,,,,
symmetric_mm_and_abs_sum,1,not_run,not_run,,,,not_run,not_run,,,,,
symmetric_mm_and_abs_sum,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_mv_sigmoid_sub,0,pass,pass,0.007840000092983246,0.018207999877631664,2.3224489364391356,candidate_budget,candidate_budget,0.007823999971151352,0.007879999931901693,1.007157459222498,1.0020450053541525,2.310659902916712
fused_mv_sigmoid_sub,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_mv_sigmoid_sub,2,not_run,not_run,,,,not_run,not_run,,,,,
solve,0,pass,pass,6.626768112182617,241.67466735839844,36.46946192580739,not_run,not_run,,,,,
solve,1,not_run,not_run,,,,not_run,not_run,,,,,
solve,2,not_run,not_run,,,,not_run,not_run,,,,,
