kernel,case,generated_p50_ms,source_p50_ms,ratio,status,note
causal_attention_f32,B8-S128-D32-f32-8cores,0.270391,0.286279,0.944502,pass,同算法、f32、单 NUMA 8 核；native 执行计时含 packing/任务同步，不含输出分配。独立 Mojo online attention source；沿用 CPU f32 contraction 容差；分段与归约括号可不同。
causal_linear_attention_f32,B8-S128-D32-f32-8cores,0.079454,0.158565,0.501085,pass,同算法、f32、单 NUMA 8 核；native 执行计时含 packing/任务同步，不含输出分配。独立 Mojo chunked linear attention source；输出包含最终状态；沿用 CPU f32 contraction 容差。
batched_row_affine,17x257x4093-f32-8cores,1.444316,2.082646,0.693500,pass,同算法、f32、单 NUMA 8 核；native 执行计时含 packing/任务同步，不含输出分配。Source 调用安装的 Modular/MAX CPU elementwise。
weighted_rms_norm,8192x4096-f32-8cores,5.019436,3.447934,1.455781,pass,同算法、f32、单 NUMA 8 核；native 执行计时含 packing/任务同步，不含输出分配。Source 调用安装的 Modular/MAX RMSNorm；双方归约括号与中间数学实现可能不同。
dense_gemm_f32,M1024-N1024-K1024-f32-8cores,2.183901,2.144156,1.018536,pass,同算法、f32、单 NUMA 8 核；native 执行计时含 packing/任务同步，不含输出分配。Source 调用安装的 Modular/MAX CPU matmul，未缓存输入 packing。
stable_softmax,8192x8192-f32-8cores,8.081696,7.888340,1.024512,pass,同算法、f32、单 NUMA 8 核；native 执行计时含 packing/任务同步，不含输出分配。Source 调用安装的 Modular/MAX CPU Softmax；双方 max/exp/sum 后显式以倒数乘法归一化，归约树仍可能不同。
weighted_layer_norm,8192x4096-f32-8cores,3.797713,3.678546,1.032395,pass,同算法、f32、单 NUMA 8 核；native 执行计时含 packing/任务同步，不含输出分配。Source 使用 Modular/MAX rowwise 同矩统计算法 E[x²]-E[x]²；不是现成 Welford layer_norm。
