task,repeat,direct_generation_status,intent_generation_status,direct_seed_ms,intent_seed_ms,intent_over_direct_seed,direct_optimization_status,intent_optimization_status,direct_optimized_ms,intent_optimized_ms,intent_over_direct_optimized,direct_optimization_speedup,intent_optimization_speedup
tensordot,0,pass,pass,0.0060640000738203526,0.007943999953567982,1.3100263616196197,not_run,not_run,,,,,
tensordot,1,not_run,not_run,,,,not_run,not_run,,,,,
tensordot,2,not_run,not_run,,,,not_run,not_run,,,,,
tensordot_rsqrt,0,pass,pass,0.04676800034940243,0.0447199996560812,0.9562093594333588,not_run,not_run,,,,,
tensordot_rsqrt,1,not_run,not_run,,,,not_run,not_run,,,,,
tensordot_rsqrt,2,not_run,not_run,,,,not_run,not_run,,,,,
conv2d,0,pass,pass,0.09080799669027328,0.9692719876766205,10.673861587130927,not_run,not_run,,,,,
conv2d,1,not_run,not_run,,,,not_run,not_run,,,,,
conv2d,2,not_run,not_run,,,,not_run,not_run,,,,,
symmetric_mm_and_abs_sum,0,pass,compilation_failure,0.14135199785232544,,,not_run,not_run,,,,,
symmetric_mm_and_abs_sum,1,not_run,not_run,,,,not_run,not_run,,,,,
symmetric_mm_and_abs_sum,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_mv_sigmoid_sub,0,pass,pass,0.007840000092983246,0.018080000765621662,2.3061225192845543,not_run,not_run,,,,,
fused_mv_sigmoid_sub,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_mv_sigmoid_sub,2,not_run,not_run,,,,not_run,not_run,,,,,
solve,0,pass,compilation_failure,6.626768112182617,,,not_run,not_run,,,,,
solve,1,not_run,not_run,,,,not_run,not_run,,,,,
solve,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_cholesky_solve,0,pass,pass,7.501408100128174,28.98428726196289,3.8638462106157974,not_run,not_run,,,,,
fused_cholesky_solve,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_cholesky_solve,2,not_run,not_run,,,,not_run,not_run,,,,,
fused_qr_solve,0,pass,compilation_failure,16.26518440246582,,,not_run,not_run,,,,,
fused_qr_solve,1,not_run,not_run,,,,not_run,not_run,,,,,
fused_qr_solve,2,not_run,not_run,,,,not_run,not_run,,,,,
add_gelu,0,pass,pass,0.007815999910235405,0.006896000122651458,0.882292758680925,not_run,not_run,,,,,
add_gelu,1,not_run,not_run,,,,not_run,not_run,,,,,
add_gelu,2,not_run,not_run,,,,not_run,not_run,,,,,
mul_relu,0,pass,pass,0.009999999776482582,0.0098879998549819,0.9888000075995924,not_run,not_run,,,,,
mul_relu,1,not_run,not_run,,,,not_run,not_run,,,,,
mul_relu,2,not_run,not_run,,,,not_run,not_run,,,,,
mul_sub,0,pass,pass,0.012064000125974417,0.012064000125974417,1.0,not_run,not_run,,,,,
mul_sub,1,not_run,not_run,,,,not_run,not_run,,,,,
mul_sub,2,not_run,not_run,,,,not_run,not_run,,,,,
sub_gelu,0,reference_contract_failure,reference_contract_failure,,,,not_run,not_run,,,,,
sub_gelu,1,not_run,not_run,,,,not_run,not_run,,,,,
sub_gelu,2,not_run,not_run,,,,not_run,not_run,,,,,
relu_conv2d,0,pass,pass,0.012048000004142523,1.9339519739151,160.52058210907535,not_run,not_run,,,,,
relu_conv2d,1,not_run,not_run,,,,not_run,not_run,,,,,
relu_conv2d,2,not_run,not_run,,,,not_run,not_run,,,,,
gelu_conv2d,0,pass,pass,0.06328000128269196,3.6518160104751587,57.70884855329461,not_run,not_run,,,,,
gelu_conv2d,1,not_run,not_run,,,,not_run,not_run,,,,,
gelu_conv2d,2,not_run,not_run,,,,not_run,not_run,,,,,
conv2d_add,0,pass,pass,0.031487999483942986,1.6699199676513672,53.0335364272007,not_run,not_run,,,,,
conv2d_add,1,not_run,not_run,,,,not_run,not_run,,,,,
