algorithm_group,kernel,case,triton_scope,triton_status,triton_p50_ms,triton_p95_ms,triton_source_p50_ms,triton_source_p95_ms,cutile_scope,cutile_status,cutile_p50_ms,cutile_p95_ms,cutile_source_p50_ms,cutile_source_p95_ms,tilelang_scope,tilelang_status,tilelang_p50_ms,tilelang_p95_ms,tilelang_source_p50_ms,tilelang_source_p95_ms
attention/decode,paged_splitk_attention,default,E,pass,0.2495,0.2509,,,E,pass,0.6174,0.6270,,,E,unsupported,,,,
attention/decode,varlen_gqa_decode_logits,default,R,pass,0.0653,0.0701,,,R,pass,0.1494,0.1501,,,R,unsupported,,,,
attention/mla,mla_prefill,default,K,pass,0.0234,0.0242,,,K,pass,0.0247,0.0254,0.0195,0.0206,K,pass,0.0272,0.0276,,
attention/mla,mla_head_projection,query_absorb,K,pass,0.0091,0.0095,,,K,pass,0.0085,0.0091,,,K,pass,0.0113,0.0119,,
attention/mla,mla_head_projection,value_reconstruct,K,pass,0.0102,0.0108,,,K,pass,0.0097,0.0109,,,K,pass,0.0116,0.0123,,
attention/mla,absorbed_mla_prefill,default,K,pass,0.0561,0.0573,,,K,pass,0.2873,0.2926,,,K,pass,0.1078,0.1094,,
attention/mla,token_sparse_mla_prefill,default,K,compile_failed,,,,,K,compile_timeout,,,,,K,unsupported,,,,
attention/mla,paged_mla_decode,default,K,pass,0.1321,0.1336,,,K,pass,0.2064,0.2082,,,K,unsupported,,,,
attention/mla,fp8_mqa_logits,default,K,pass,0.0495,0.0502,0.0514,0.0524,K,unsupported,,,,,K,unsupported,,,,
attention/block-sparse,block_sparse_attention,default,E,pass,0.0888,0.0944,,,E,pass,0.0556,0.0596,,,E,pass,0.8174,0.8353,0.0586,0.0715
attention/backward,attention_backward,default,E,pass,0.1508,0.1566,,,E,pass,0.1441,0.1449,0.0769,0.0773,E,pass,0.1295,0.1300,,
moe,moe,default,E,pass,7.9140,8.0063,,,E,pass,10.2242,10.5007,,,E,pass,13.6268,13.7393,,
moe,grouped_gemm,base,E,pass,1.4162,1.4361,,,E,pass,1.2285,1.2882,,,E,pass,1.0264,1.1041,1.5505,1.7381
moe,grouped_gemm,tail,E,pass,1.4684,1.5400,,,E,pass,1.2774,1.3697,,,E,pass,1.0286,1.1344,,
moe,grouped_gemm,empty_groups,E,pass,0.0862,0.0893,,,E,pass,0.0532,0.0564,,,E,pass,0.0480,0.0526,,
moe,moe_align_block,default,E,pass,0.0917,0.0958,,,E,pass,0.0749,0.0794,,,E,pass,0.0421,0.0447,,
moe,variant_moe_product_domain,default,K,pass,0.0217,0.0238,,,K,pass,0.0198,0.0206,,,K,pass,0.0133,0.0155,,
scan/prefix,ordered_prefix,default,K,pass,0.0191,0.0220,0.0205,0.0228,K,pass,0.0196,0.0213,,,K,pass,0.0131,0.0150,,
scan/prefix,variant_ordered_prefix_nested,default,K,pass,0.0369,0.0397,,,K,pass,0.0583,0.0587,,,K,pass,0.0177,0.0183,,
scan/state-space,selective_scan,default,K,pass,0.2184,0.2187,,,K,pass,0.1609,0.1611,,,K,pass,0.1295,0.1297,,
scan/state-space,mamba_chunk_scan,default,K,pass,0.0296,0.0306,,,K,pass,0.0220,0.0231,,,K,pass,0.0299,0.0308,0.0159,0.0170
position/rope,rope_qk_full,default,K,pass,0.0608,0.0626,,,K,pass,0.0602,0.0611,0.0600,0.0612,K,pass,0.0614,0.0622,,
position/rope,rope_qk_partial,default,K,pass,0.0324,0.0344,,,K,pass,0.0328,0.0344,0.0333,0.0349,K,pass,0.0324,0.0337,,
position/rope,rope_qk_inverse,default,K,pass,0.0607,0.0626,,,K,pass,0.0601,0.0615,0.0599,0.0611,K,pass,0.0613,0.0628,,
position/rope,variant_rope_index,default,K,pass,0.0446,0.0453,,,K,pass,0.0447,0.0455,,,K,pass,0.0446,0.0455,,
indexing/embedding,embedding_forward_lookup,default,K,pass,0.0328,0.0343,0.0342,0.0355,K,pass,0.0387,0.0404,,,K,pass,0.0290,0.0302,,
indexing/embedding,embedding_backward_atomic,default,K,pass,0.1727,0.1740,0.6565,0.6620,K,pass,0.1728,0.1738,,,K,pass,0.1768,0.1779,,
indexing/gather-scatter,shifted_row_copy,default,K,pass,0.0171,0.0182,0.0165,0.0180,K,pass,0.0163,0.0176,,,K,pass,0.0167,0.0179,,
