task,case,arm,repeat,stage,candidate,status,candidate_ms,reference_ms,ratio,failure_stage,error
matmul,upstream-profile-6,intent,0,generation,4,pass,0.018192000687122345,0.01744799967855215,1.0426410489613176,,
matmul,upstream-profile-6,triton,0,optimization,3,pass,0.017568000592291355,0.018080000765621662,0.9716814075415388,,
softmax,upstream-profile-6,triton,0,optimization,3,pass,0.007823999971151352,0.007840000092983246,0.9979591681578915,,
softmax,upstream-profile-6,triton,0,optimization,4,pass,0.007920000003650784,0.007967999903485179,0.9939759161124739,,
matmul,upstream-profile-6,intent,0,optimization,1,pass,0.017536000348627567,0.018144000321626663,0.9664903019057824,,
matmul,upstream-profile-6,triton,0,optimization,4,pass,0.017967999912798405,0.018080000765621662,0.9938052628274097,,
matmul,upstream-profile-6,triton,0,optimization,5,pass,0.017920000478625298,0.018080000765621662,0.9911504269789303,,
softmax,upstream-profile-6,triton,0,optimization,5,pass,0.007840000092983246,0.007840000092983246,1.0,,
matmul,upstream-profile-6,intent,0,optimization,2,pass,0.018144000321626663,0.01817600056529045,0.9982394232686757,,
matmul,upstream-profile-6,intent,0,optimization,3,pass,0.018080000765621662,0.018064000643789768,1.0008857463054506,,
matmul,upstream-profile-6,intent,0,optimization,4,pass,0.018064000643789768,0.01809599995613098,0.9982316914003765,,
matmul,upstream-profile-6,intent,0,optimization,5,pass,0.016367999836802483,0.017184000462293625,0.9525139313583196,,
